GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp-foyer,tn.esprit.tpfoyer.service,BlocServiceImpl,40,62,4,2,9,15,5,8,3,7
tp-foyer,tn.esprit.tpfoyer.service,EtudiantServiceImpl,33,0,0,0,7,0,6,0,6,0
tp-foyer,tn.esprit.tpfoyer.service,ChambreServiceImpl,47,10,0,0,11,4,7,2,7,2
tp-foyer,tn.esprit.tpfoyer.service,ReservationServiceImpl,34,0,0,0,7,0,6,0,6,0
tp-foyer,tn.esprit.tpfoyer.service,UniversiteServiceImpl,28,0,0,0,6,0,5,0,5,0
tp-foyer,tn.esprit.tpfoyer.service,FoyerServiceImpl,11,17,0,0,3,3,2,3,2,3
tp-foyer,tn.esprit.tpfoyer,TpFoyerApplication,5,3,0,0,2,1,1,1,1,1
tp-foyer,tn.esprit.tpfoyer.control,UniversiteRestController,32,0,0,0,10,0,5,0,5,0
tp-foyer,tn.esprit.tpfoyer.control,ChambreRestController,44,0,0,0,13,0,7,0,7,0
tp-foyer,tn.esprit.tpfoyer.control,BlocRestController,42,0,0,0,12,0,7,0,7,0
tp-foyer,tn.esprit.tpfoyer.control,ReservationRestController,38,0,0,0,11,0,6,0,6,0
tp-foyer,tn.esprit.tpfoyer.control,EtudiantRestController,40,0,0,0,12,0,6,0,6,0
tp-foyer,tn.esprit.tpfoyer.control,FoyerRestController,19,13,0,0,6,4,3,2,3,2
tp-foyer,tn.esprit.tpfoyer.entity,Bloc,14,24,0,0,4,7,4,7,4,7
tp-foyer,tn.esprit.tpfoyer.entity,Foyer,26,42,0,0,9,15,5,8,5,8
tp-foyer,tn.esprit.tpfoyer.entity,TypeChambre,0,21,0,0,0,2,0,1,0,1
tp-foyer,tn.esprit.tpfoyer.config,ConfigAOP,0,41,0,0,0,13,0,5,0,5
